CUENTA,CARRERA,FACULTAD,MATERIA,NOMBRE MATERIA,SECCION,HORA CLASE,AULA,
12421042,L-23,ESCUELA DE ARTE Y DISEÑO,ADI101,BOCETAJE Y VISUALIZACIÓN I,1722,08:30 AM,06/103,
12311369,L-23,ESCUELA DE ARTE Y DISEÑO,ADI101,BOCETAJE Y VISUALIZACIÓN I,1722,08:30 AM,06/103,
12411148,L-23,ESCUELA DE ARTE Y DISEÑO,ADI101,BOCETAJE Y VISUALIZACIÓN I,1722,08:30 AM,06/103,
12411173,L-23,ESCUELA DE ARTE Y DISEÑO,ADI101,BOCETAJE Y VISUALIZACIÓN I,1722,08:30 AM,06/103,
12411113,L-23,ESCUELA DE ARTE Y DISEÑO,ADI101,BOCETAJE Y VISUALIZACIÓN I,1722,08:30 AM,06/103,.
12351117,L-23,ESCUELA DE ARTE Y DISEÑO,ADI101,BOCETAJE Y VISUALIZACIÓN I,1722,08:30 AM,06/103,
11641241,L-23,ESCUELA DE ARTE Y DISEÑO,ADI101,BOCETAJE Y VISUALIZACIÓN I,1722,08:30 AM,06/103,
12041036,L-23,ESCUELA DE ARTE Y DISEÑO,ADI101,BOCETAJE Y VISUALIZACIÓN I,1722,08:30 AM,06/103,
12421042,L-23,ESCUELA DE ARTE Y DISEÑO,ADI102,INTRO ANIMACIÓN INTERACTIVIDAD,1732,10:10 AM,06/103,
12341286,L-23,ESCUELA DE ARTE Y DISEÑO,ADI102,INTRO ANIMACIÓN INTERACTIVIDAD,1732,10:10 AM,06/103,
12041036,L-23,ESCUELA DE ARTE Y DISEÑO,ADI102,INTRO ANIMACIÓN INTERACTIVIDAD,1732,10:10 AM,06/103,
12351117,L-23,ESCUELA DE ARTE Y DISEÑO,ADI102,INTRO ANIMACIÓN INTERACTIVIDAD,1732,10:10 AM,06/103,
12321019,L-23,ESCUELA DE ARTE Y DISEÑO,ADI102,INTRO ANIMACIÓN INTERACTIVIDAD,1732,10:10 AM,06/103,
12411203,L-23,ESCUELA DE ARTE Y DISEÑO,ADI103,BOCETAJE Y VISUALIZACIÓN II,1755,02:20 PM,06/103,
12411185,L-23,ESCUELA DE ARTE Y DISEÑO,ADI103,BOCETAJE Y VISUALIZACIÓN II,1755,02:20 PM,06/103,
12411059,L-23,ESCUELA DE ARTE Y DISEÑO,ADI103,BOCETAJE Y VISUALIZACIÓN II,1755,02:20 PM,06/103,
12341088,L-23,ESCUELA DE ARTE Y DISEÑO,ADI103,BOCETAJE Y VISUALIZACIÓN II,1755,02:20 PM,06/103,
12111078,L-23,ESCUELA DE ARTE Y DISEÑO,ADI103,BOCETAJE Y VISUALIZACIÓN II,1755,02:20 PM,06/103,
22341321,L-23,ESCUELA DE ARTE Y DISEÑO,ADI103,BOCETAJE Y VISUALIZACIÓN II,1755,02:20 PM,06/103,
12411196,L-23,ESCUELA DE ARTE Y DISEÑO,ADI103,BOCETAJE Y VISUALIZACIÓN II,1755,02:20 PM,06/103,
12351138,L-23,ESCUELA DE ARTE Y DISEÑO,ADI104,FUNDAMENTOS DE ANIMACIÓN,1786,03:40 PM,06/103,
12411150,L-23,ESCUELA DE ARTE Y DISEÑO,ADI104,FUNDAMENTOS DE ANIMACIÓN,1786,03:40 PM,06/103,
12341068,L-23,ESCUELA DE ARTE Y DISEÑO,ADI104,FUNDAMENTOS DE ANIMACIÓN,1786,03:40 PM,06/103,
12411302,L-23,ESCUELA DE ARTE Y DISEÑO,ADI104,FUNDAMENTOS DE ANIMACIÓN,1786,03:40 PM,06/103,
12411059,L-23,ESCUELA DE ARTE Y DISEÑO,ADI104,FUNDAMENTOS DE ANIMACIÓN,1786,03:40 PM,06/103,
22141237,L-23,ESCUELA DE ARTE Y DISEÑO,ADI104,FUNDAMENTOS DE ANIMACIÓN,1786,03:40 PM,06/103,
32211252,L-23,ESCUELA DE ARTE Y DISEÑO,ADI104,FUNDAMENTOS DE ANIMACIÓN,1786,03:40 PM,06/103,
12341288,L-23,ESCUELA DE ARTE Y DISEÑO,ADI104,FUNDAMENTOS DE ANIMACIÓN,1786,03:40 PM,06/103,
12111078,L-23,ESCUELA DE ARTE Y DISEÑO,ADI104,FUNDAMENTOS DE ANIMACIÓN,1786,03:40 PM,06/103,
12341057,L-23,ESCUELA DE ARTE Y DISEÑO,ADI108,DISEÑO DIGITAL II,1726,08:30 AM,06/303,
12341245,L-23,ESCUELA DE ARTE Y DISEÑO,ADI108,DISEÑO DIGITAL II,1726,08:30 AM,06/303,
12311076,L-23,ESCUELA DE ARTE Y DISEÑO,ADI108,DISEÑO DIGITAL II,1726,08:30 AM,06/303,
12311149,L-23,ESCUELA DE ARTE Y DISEÑO,ADI108,DISEÑO DIGITAL II,1726,08:30 AM,06/303,
12251106,L-23,ESCUELA DE ARTE Y DISEÑO,ADI108,DISEÑO DIGITAL II,1726,08:30 AM,06/303,
